,date_published,authors,journal_title,article_title,all_num_citations_crossref,all_num_references_crossref
1529,"[2019, 3, 14]","['Barker, Natasha', 'Fidock, Benjamin', 'Johns, Christopher S.', 'Kaur, Harjinder', 'Archer, Gareth', 'Rajaram, Smitha', 'Hill, Catherine', 'Thomas, Steven', 'Karunasaagarar, Kavitasagary', 'Capener, David', 'Al-Mohammad, Abdullah', 'Rothman, Alexander', 'Kiely, David G.', 'Swift, Andrew J.', 'Wild, James M.', 'Garg, Pankaj']",BioMed Research International,A Systematic Review of Right Ventricular Diastolic Assessment by 4D Flow CMR,10,29
1530,"[2019, 1]","['Howlett, Helen', 'Mackenzie, Shonag', 'Strehle, Eugen-Matthias', 'Rankin, Judith', 'Gray, William K']",Clinical Medicine Insights: Reproductive Health,A Survey of Health Care Professionals’ Knowledge and Experience of                     Foetal Alcohol Spectrum Disorder and Alcohol Use in Pregnancy,6,30
1531,"[2019, 3]","['Keighley, Joseph', 'Nadim, Aishah', 'Howlett, David']",BMJ Case Reports,Pilonidal abscess of the breast,1,9
1532,"[2019, 3, 29]","['Davies, Patrick', 'Yasin, Samra', 'Gates, Simon', 'Bird, David', 'Silvestre, Catarina']",Scientific Reports,Clinical Scenarios of the Application of Electrical Impedance Tomography in Paediatric Intensive Care,8,27
1533,"[2019, 1]","['Taktak, Samih', 'Llewellyn, Oliver', 'Aboelsoud, Mohamed', 'Hajibandeh, Shahab', 'Hajibandeh, Shahin']",Therapeutic Advances in Urology,Robot-assisted laparoscopic pyeloplasty versus laparoscopic pyeloplasty for pelvi-ureteric junction obstruction in the paediatric population: a systematic review and meta-analysis,5,27
1534,"[2019, 3, 28]","['Thomas, Will', 'Symington, Emily', 'Besser, Martin', 'Sheares, Karen']",British Journal of Haematology,Real world experience at a single centre using low dose direct oral anticoagulants after unprovoked venous thromboembolism,0,10
1535,"[2019, 3, 27]","['Sumangala, Salini', 'Nikfekr, Esmail', 'George, Jithin', 'Holmes, Christopher William']",Postgraduate Medical Journal,Leprosy neuropathy masquerading as cellulitis,0,3
1536,[2019],"['Ford, Susan L', 'Lou, Yu', 'Lewis, Nicole', 'Kostapanos, Michalis', 'D’Amico, Ronald', 'Spreen, William', 'Patel, Parul']",Antiviral Therapy,Effect of rifabutin on the pharmacokinetics of oral cabotegravir in healthy subjects,7,0
1537,"[2019, 3, 21]","['Howells, P', 'Modarres, M', 'Samuel, M', 'Taylor, C', 'Hamoda, H']",Post Reproductive Health,Experience of hormone replacement therapy in postmenopausal women living with HIV,6,16
1538,"[2019, 3, 14]","['Qureshi, A.M.', 'Davies, L.K.', 'Patel, P.A.', 'Rennie, A.', 'Robertson, F.']",American Journal of Neuroradiology,Determinants of Radiation Dose in Selective Ophthalmic Artery Chemosurgery for Retinoblastoma,0,19
1539,"[2019, 3]","['Mellerio, J. E.']",British Journal of Dermatology,Beta blockers for infantile haemangiomas: where should we go from here?,0,5
1540,"[2019, 2, 28]","['Hussain, Tariq']",British Journal of General Practice,Exhibition: <i>Rodin and the Art of Ancient Greece</i>,0,1
1541,"[2019, 3]","['Sigmund, I. K.', 'Holinka, J.', 'Sevelda, F.', 'Staats, K.', 'Heisinger, S.', 'Kubista, B.', 'McNally, M. A.', 'Windhager, R.']",The Bone &amp; Joint Journal,Performance of automated multiplex polymerase chain reaction (mPCR) using synovial fluid in the diagnosis of native joint septic arthritis in adults,10,35
1542,"[2019, 7]","['Briggs, Victoria', 'Davies, Simon', 'Wilkie, Martin']",American Journal of Kidney Diseases,International Variations in Peritoneal Dialysis Utilization and Implications for Practice,26,85
1543,"[2019, 5]","['Oswald, Nicola', 'Halle-Smith, James', 'Kerr, Amy', 'Webb, Joanne', 'Agostini, Paula', 'Bishay, Ehab', 'Kalkat, Maninder', 'Steyn, Richard', 'Naidu, Babu']",European Journal of Surgical Oncology,Perioperative immune function and pain control may underlie early hospital readmission and 90 day mortality following lung cancer resection: A prospective cohort study of 932 patients,2,25
1544,"[2019, 2, 22]","['Kovarik, J', 'Bhabra, M', 'Tin, A W', 'Shaikh, G', 'Iqbal, M S']",The Journal of Laryngology &amp; Otology,Intensity-modulated radiotherapy (55 Gy in 20 fractions) for high-grade laryngeal dysplasia: report of acute toxicity and functional outcome,0,20
1545,"[2019, 3, 24]","['El‐Shanawany, Isobel R.', 'Wade, Charlotte', 'Holloway, Judith A.']",Clinical & Experimental Allergy,The impact of a General Practitioner‐led community paediatric allergy clinic: A service evaluation,9,27
1546,"[2020, 1]","['Nabhani‐Gebara, Shereen', 'Fletcher, Simon', 'Shamim, Atif', 'May, Leanne', 'Butt, Nabiha', 'Chagger, Sunita', 'Mason, Thuy', 'Patel, Kunal', 'Royle, Finlay', 'Reeves, Scott']",Research in Social and Administrative Pharmacy,"General practice pharmacists in England: Integration, mediation and professional dynamics",11,23
1547,"[2019, 1]","['Jackson-Koku, G', 'Grime, P']",Occupational Medicine,Emotion regulation and burnout in doctors: a systematic review,19,46
1548,"[2019, 2, 6]","['Erskine, Daniel', 'Taylor, John-Paul', 'Thomas, Alan', 'Collerton, Daniel', 'McKeith, Ian', 'Khundakar, Ahmad', 'Attems, Johannes', 'Morris, Christopher']",Neuroscience Bulletin,Pathological Changes to the Subcortical Visual System and its Relationship to Visual Hallucinations in Dementia with Lewy Bodies,11,20
1549,"[2019, 1, 29]","['Patel, Jignesh P.', 'Byrne, Rosalind A.', 'Patel, Raj K.', 'Arya, Roopen']",British Journal of Haematology,Progress in the monitoring of direct oral anticoagulant therapy,21,73
1550,"[2019, 1, 28]","['Denny, Nicholas', 'Scott, Martin', 'Hay, Charles', 'Thachil, Jecko']",Haemophilia,Expecting the unexpected: Acquired haemophilia A in a patient with homozygous factor V deficiency,1,13
1551,"[2019, 2, 20]","['Nightingale, Ruth', 'McHugh, Gretl', 'Kirk, Susan', 'Swallow, Veronica']","Child: Care, Health and Development",Supporting children and young people to assume responsibility from their parents for the self-management of their long-term condition: An integrative review,13,63
1552,"[2019, 7]","['Hollingsworth, Andrew C.', 'Dawkins, Claire', 'Wong, Peng F.', 'Walker, Paul', 'Milburn, Simon', 'Mofidi, Reza']",Annals of Vascular Surgery,Aneurysm Morphology Is a More Significant Predictor of Survival than Hardman's Index in Patients with Ruptured or Acutely Symptomatic Abdominal Aortic Aneurysms,8,35
1553,"[2019, 1, 25]","['Appleby, Richard N.', 'Moghul, Iman', 'Khan, Shahid', 'Yee, Michael', 'Manousou, Pinelope', 'Neal, Tracy Dew', 'Walters, Julian R. F.']",PLOS ONE,Non-alcoholic fatty liver disease is associated with dysregulated bile acid synthesis and diarrhea: A prospective observational study,23,32
1554,"[2019, 1, 25]","['Ingrassia, Antonina']",The British Journal of Psychiatry,Author's reply,0,4
1555,"[2019, 2]","['Williams, M.', 'Hills, A.J.', 'Ghaedi, Y.']",British Journal of Oral and Maxillofacial Surgery,Incision to the sagittal temporalis tendon to optimise access to the ramus,1,4
1556,"[2019, 2, 7]","['Mohan, Hosahalli K.', 'Livieratos, Lefteris', 'Peters, A. Michael']",Clinical Physiology and Functional Imaging,"Lung clearance of inhaled aerosol of Tc‐99m‐methoxyisobutyl isonitrile: relationships with cigarette smoking, age and gender",3,9
1557,"[2019, 1, 12]","['Mitchell, Piers D', 'Brown, Richard', 'Wang, Tengyao', 'Shah, Rajen D', 'Samworth, Richard J', 'Deakin, Sue', 'Edge, Phillip', 'Hudson, Ivan', 'Hutchinson, Rachel', 'Stohr, Kuldeep', 'Latimer, Mark', 'Natarajan, Rajan', 'Qasim, Sultan', 'Rehm, Andreas', 'Sanghrajka, Anish', 'Tissingh, Elizabeth', 'Wright, Georgina M']",Archives of Disease in Childhood,"Multicentre study of physical abuse and limb fractures in young children in the East Anglia Region, UK",6,29
1558,"[2019, 1]","['Condliffe, Robin', 'Quadery, Syed Rehan', 'Jenkins, David P.', 'Armstrong, Iain J.', 'Kiely, David G.']",European Respiratory Journal,Decision-making in pulmonary endarterectomy surgery,2,4
1559,"[2019, 1, 10]","['Chapman, Warren', 'Siau, Keith', 'Thomas, Fiona', 'Ernest, Selvajothi', 'Begum, Shriya', 'Iqbal, Tariq', 'Bhala, Neeraj']",British Journal of Nursing,Acute upper gastrointestinal bleeding: a guide for nurses,2,26
1560,"[2018, 12, 20]","['Dwivedi, Rahul', 'Marsh, Ian Bruce']",Strabismus,Superior oblique tuck: evaluation of surgical outcomes,3,9
1561,"[2018, 12, 31]","['Ng, K.C. Geoffrey', 'El Daou, Hadi', 'Bankes, Marcus J.K.', 'Rodriguez y Baena, Ferdinando', 'Jeffers, Jonathan R.T.']",The American Journal of Sports Medicine,Hip Joint Torsional Loading Before and After Cam Femoroacetabular Impingement Surgery,13,85
1562,"[2018, 12, 10]","['Abu‐Asi, Mohammed J.', 'White, Ian R.', 'White, Jonathan M.L.']",Contact Dermatitis,Multiple chemical sensitivity syndrome is not caused by contact allergy,1,0
1563,"[2019, 2]","['Chapple, Christopher R.']",European Urology,What Is the Current Role of β3-Adrenergic Receptor Agonists and How Do They Work?,2,10
1564,"[2019, 2]","['Stables, Rod H.', 'Elguindy, Mostafa', 'Kemp, Ian', 'Nicholas, Zoe', 'Mars, Christine', 'Mullen, Liam', 'Curzen, Nick']",EuroIntervention,A randomised controlled trial to compare two coronary pressure wires using simultaneous measurements in human coronary arteries: the COMET trial,6,16
1565,"[2018, 10, 8]","['Purkayastha, Nirupam', 'Humby, Frances', 'Rocher-Ros, Vidalba', 'Pitzalis, Costantino', 'Kelly, Stephen']",Annals of the Rheumatic Diseases,Wrist ultrasound - the model method for grey-scale and power Doppler scoring,1,8
1566,"[2018, 9, 30]","['Aston, SJ', 'Doherty, K', 'Black, B', 'Davies, G']",HIV Medicine,Latent tuberculosis infection screening in HIV-infected patients: guidelines versus everyday practice in a UK HIV centre,0,6
1567,"[2018, 9, 4]","['Wei, Xin', 'Mishra, Chitaranjan', 'Kannan, Naresh Babu', 'Holder, Graham E.', 'Khandelwal, Neha', 'Kim, Ramasamy', 'Agrawal, Rupesh']",Acta Ophthalmologica,Choroidal structural analysis and vascularity index in retinal dystrophies,14,44
1568,"[2018, 6, 25]","['Steel, Lauren', 'Gaffney, Karl']",Rheumatology,Scrotal calcinosis in an adult patient with amyopathic dermatomyositis,1,2
1569,"[2018, 2, 5]","['Onwumere, Juliana', 'Parkyn, Grace', 'Learmonth, Stephanie', 'Kuipers, Elizabeth']","Psychology and Psychotherapy: Theory, Research and Practice",The last taboo: The experience of violence in first-episode psychosis caregiving relationships,10,73
1570,"[2018, 1, 7]","['Patel, Jignesh P.', 'Chitongo, Paradzai B.', 'Dighe, Preetam', 'Roberts, Lara N.', 'Vadher, Bipin', 'Patel, Raj K.', 'Arya, Roopen']",British Journal of Haematology,"Prothrombin times in the presence of edoxaban - <i>in-vivo</i>
 experience from King's College hospital",2,9
1571,"[2019, 1]","['Kouritas, Vasileios', 'Milton, Richard', 'Kefaloyannis, Emmanouel', 'Papagiannopoulos, Kostas', 'Brunelli, Allesandro', 'Dimov, Doytchin', 'Karthik, Sishik', 'Hardy, Andrew', 'Tcherveniakov, Peter', 'Chaudhuri, Nilanjan']","Clinical Medicine Insights: Circulatory, Respiratory and Pulmonary Medicine",The Impact of a Newly Established Multidisciplinary Team on the Interventional Treatment of Patients With Emphysema,1,21
1572,"[2019, 1, 1]","['Arkley, James', 'Dixon, Ján', 'Wilson, Faye', 'Charlton, Karl', 'Ollivere, Benjamin John', 'Eardley, William']",Geriatric Orthopaedic Surgery &amp; Rehabilitation,Assessment of Nutrition and Supplementation in Patients With Hip Fractures,9,40
1573,"[2019, 3]","['Lisk, Radcliffe', 'Watts,, Paula', ""O'Sullivan, Ruth"", 'Pagkalinawan, Maryln', 'Reyes, Kristine', 'Foan, Zoe', 'Spencer, Charlotte', 'Rawlings, Francesca', 'Sills, David', 'Clancy, Laura', 'Stevenson, Kelly', 'Chikusu, Clarence']",Future Healthcare Journal,2-year impact of an Older People Short Stay Unit team working across emergency areas in the over-75s,0,0
1574,"[2019, 6, 26]","['Carey, Timothy A.', 'Huddy, Vyv', 'Griffiths, Robert']",Frontiers in Psychology,To Mix or Not To Mix? A Meta-Method Approach to Rethinking Evaluation Practices for Improved Effectiveness and Efficiency of Psychological Therapies Illustrated With the Application of Perceptual Control Theory,6,52
1575,"[2019, 1]","['Gundle, Leo BH', 'Dowek, Aimee', 'Heer, Priya', 'Jones, Steven', 'Bartle, David']",Clinical Medicine Insights: Pediatrics,Some Scars Do Not Run Deep: The Qualitative and Quantitative Nature of Neonatal Seldinger Pigtail Chest Drain Scars,0,8
1576,"[2019, 6, 13]","['Lemonidis, Kimon', 'Salih, Talal S.', 'Dancer, Stephanie J.', 'Hunter, Iain S.', 'Tucker, Nicholas P.']",PLOS ONE,Emergence of an Australian-like pstS-null vancomycin resistant Enterococcus faecium clone in Scotland,6,35
1577,[2019],"['Browning, Andrew\xa0C.', 'O’Brien, Jill\xa0M.', 'Vieira, Rute\xa0V.', 'Gupta, Rajen', 'Nenova, Kapka']",Ophthalmologica,Intravitreal Aflibercept for Retinal Angiomatous Proliferation: Results of a Prospective Case Series at 96 Weeks,3,44
1578,"[2017, 12, 6]","['Barnett, Nina L', 'Leader, Ilana', 'Easthall, Claire']",European Journal of Hospital Pharmacy,Developing person-centred consultation skills within a UK hospital pharmacy service: evaluation of a pilot practice-based support package for pharmacy staff,4,0
1579,"[2019, 5, 17]","['Lee, Alex T. J.', 'Jones, Robin L.', 'Huang, Paul H.']",Signal Transduction and Targeted Therapy,Pazopanib in advanced soft tissue sarcomas,27,80
1580,"[2019, 4, 5]","['Beck, Sarah C.', 'Wilding, Thomas', 'Buka, Richard J.', 'Baretto, Richard L.', 'Huissoon, Aarnoud P.', 'Krishna, Mamidipudi T.']",Frontiers in Immunology,Biomarkers in Human Anaphylaxis: A Critical Appraisal of Current Evidence and Perspectives,48,64
1581,"[2019, 4, 2]","['Dasgupta, Soumit', 'Ratnayake, Sudhira Asanka Bandara']",Frontiers in Neurology,Functional and Objective Audiovestibular Evaluation of Children With Apparent Semicircular Canal Dehiscence–A Case Series in a Pediatric Vestibular Center,6,40
1582,"[2019, 3, 28]","['Stubbs, Matthew J.', 'Low, Ryan', 'McGuckin, Siobhan', 'Newton, Rosalind', 'Thomas, Mari', 'Westwood, John P.', 'Shah, Raakhee', 'Cheesman, Simon', 'Scully, Marie A.']",British Journal of Haematology,Comparison of Rituximab originator (MabThera) to biosimilar (Truxima) in patients with immune‐mediated thrombotic thrombocytopenic purpura,7,16
1583,"[2019, 3, 19]","['Rabone, Amanda', 'Kawa, Bhavin', 'Thomson, Benedict', 'Kemp, Sarah', 'Elwood, Claire', 'Okaro, Abuchi', 'Hill, Mark', 'Sevitt, Timothy', 'Waters, Justin', 'Ignotus, Paul', 'Shaw, Aidan']",CardioVascular and Interventional Radiology,Stenting the Upper/Cervical Oesophagus with a Proximal Deployment Cervical Oesophageal Stent: Technique and Outcomes,3,11
1584,"[2019, 3, 19]","['Graham, Catriona', 'Bailey, David', 'Hart, Simon', 'Hutchison, Aidan', 'Sandercock, Peter', 'Doubal, Fergus', 'Sudlow, Cathie', 'Farrall, Andrew', 'Wardlaw, Joanna', 'Dennis, Martin', 'Whiteley, William']",PLOS ONE,Clinical diagnosis of TIA or minor stroke and prognosis in patients with neurological symptoms: A rapid access clinic cohort,4,21
1585,"[2019, 3]","['Whitehorn, James', 'Yacoub, Sophie']",Clinical Medicine,Global warming and arboviral infections,20,27
1586,"[2019, 3]","['Sivakumar, Chaamanti', 'Jubb, Vikki M.', 'Lamplugh, Archie', 'Bhandari, Sunil']",Peritoneal Dialysis International: Journal of the International Society for Peritoneal Dialysis,Safety of Intravenous Iron – Cosmofer and Monofer Therapy in Peritoneal Dialysis and Non-Dialysis-Dependent Chronic Kidney Disease Patients,11,15
1587,"[2019, 5]","['Punshon, Geoffrey', 'Maclaine, Katrina', 'Trevatt, Paul', 'Radford, Mark', 'Shanley, Oliver', 'Leary, Alison']",International Journal of Nursing Studies,Nursing pay by gender distribution in the UK - does the Glass Escalator still exist?,22,62
1588,"[2019, 3, 4]","['Craig, Mirin', 'Waine, Joanne', 'Wilson, Scott', 'Waller, Glenn']",International Journal of Eating Disorders,Optimizing treatment outcomes in adolescents with eating disorders: The potential role of cognitive behavioral therapy,8,17
1589,"[2019, 3, 2]","['Sun, Zoe Dong Yang', 'Cheriyan, Joseph']",Heart,Non-invasive measurements of arterial function: What? When? Why should we use them?,4,0
1590,"[2019, 7]","['Emmanuel, Andrew', 'Lapa, Christo', 'Ghosh, Anil', 'Gulati, Shraddha', 'Burt, Margaret', 'Hayee, Bu’Hussain', 'Haji, Amyn']",Gastrointestinal Endoscopy,Risk factors for early and late adenoma recurrence after advanced colorectal endoscopic resection at an expert Western center,15,27
1591,"[2018, 11]","['Cole, Simon John', 'Howes, Rachel', 'Meehan, Chris', 'Cole, Richard']",BMJ Open,High-risk basal cell carcinoma excision in primary care: a retrospective observational study of compliance with NICE guidance,1,0
1592,"[2019, 2, 20]","['Khan, Mansoor']",BMJ Military Health,General surgical training for Operation Trenton,3,6
1593,"[2019, 2, 15]","['Dovey‐Pearce, Gail', 'Walker, Sophie', 'Fairgrieve, Sophie', 'Parker, Monica', 'Rapley, Tim']",Health Expectations,The burden of proof: The process of involving young people in research,13,54
1594,"[2019, 12]","['Wilson, Simon J.', 'Hanratty, Colm G.', 'Spence, Mark S.', 'Owens, Colum G.', 'Rigger, Johannes', 'Spratt, James C.', 'Walsh, Simon J.']",Cardiovascular Revascularization Medicine,Saphenous Vein Graft Sacrifice Following Native Vessel PCI is Safe and Associated with Favourable Longer-Term Outcomes,4,18
1595,"[2019, 2, 11]","['Hoskins, Jessica I.', 'Blood, Lauren', 'Stokes, Holly R.', 'Tatham, Madeleine', 'Waller, Glenn', 'Turner, Hannah']",International Journal of Eating Disorders,Patients' experiences of brief cognitive behavioral therapy for eating disorders: A qualitative investigation,4,24
1596,"[2019, 2, 5]","['Sharma, Angelica', 'Sharma, Arun']",BMJ,Place based rivalry is instilled when you decide to apply to medical school,0,2
1597,"[2019, 2, 5]","['Bishton, Mark J.', 'Long, Heather M.', 'Dowell, Alexander C.', 'Meckiff, Benjamin J.', 'Byrne, Catherine', 'Fox, Christopher P.']",Leukemia &amp; Lymphoma,Complete remission of immunochemotherapy-refractory monomorphic post-transplant lymphoproliferative disorder mediated by endogenous T-cell recovery,1,14
1598,"[2019, 2, 4]","['Nye, Charles J. S.', 'Wagner, Annette', 'Kousin-Ezewu, Onajite', 'Jones, Joanne L.', 'Coles, Alasdair J.']",Journal of Neurology,A case of anaphylaxis to alemtuzumab,2,7
1599,"[2019, 4]","['Best, E.', 'Parnell, P.', 'Couturier, J.', 'Barbut, F.', 'Le Bozec, A.', 'Arnoldo, L.', 'Madia, A.', 'Brusaferro, S.', 'Wilcox, M.H.']",Journal of Hospital Infection,Corrigendum to “Environmental contamination by bacteria in hospital washrooms according to hand-drying method: a multi-centre study” [J Hospital Infection 100 (2018) 469–475],0,0
1600,"[2019, 11]","['Dardas, Sotirios P.', 'Dardas, Maria P.', 'Kokkinomagoulou, Amalia', 'Kallifatidis, Alexandros', 'Theofilogiannakos, Efstratios K.']",Hellenic Journal of Cardiology,Uncommon cause of paradoxical low-flow low-gradient severe aortic stenosis,0,5
1601,"[2019, 1, 31]","['Chatterjee, Sudesna', 'Khunti, Kamlesh', 'Davies, Melanie J.']",Drugs,Correction to: Achieving Glycaemic Control with Concentrated Insulin in Patients with Type 2 Diabetes,0,0
1602,"[2019, 1, 24]","['Page, Piers R J', 'Moran, C G']",BMJ Military Health,Ready for anything: considerations in emergency preparedness,0,7
1603,"[2019, 1]","['Keppel Hesselink, Jan M', 'Kopsky, David J', 'Bhaskar, Arun K']",Journal of Pain Research,Ethical justification of single-blind and double-blind placebo-controlled response tests in neuropathic pain and N-of-1 treatment paradigm in clinical settings,3,0
1604,"[2019, 2, 26]","['Javed, M. A.', 'Botros, G.', 'Wiles, R.', 'Slawik, S.', 'Ahmed, S.']",Colorectal Disease,Rectal endometriosis treated with transanal endoscopic microsurgery – a video vignette,1,4
1605,"[2019, 1, 17]","['Healy, Aoife', 'Farmer, Sybil', 'Eddison, Nicola', 'Allcock, Jonathan', 'Perry, Thomas', 'Pandyan, Anand', 'Chockalingam, Nachiappan']",Disability and Rehabilitation: Assistive Technology,A scoping literature review of studies assessing effectiveness and cost-effectiveness of prosthetic and orthotic interventions,3,24
1606,[2019],"['Gleeson, Ian', 'Rose, Christopher', 'Spurrell, Joshua']",Medical Dosimetry,Dosimetric comparison of helical tomotherapy and VMAT for anal cancer: A single institutional experience,2,49
1607,"[2019, 3]","['Ward, Joseph', 'Mitsala, Grammatiki', 'Petsios, Marios', 'Orlando, Antonio']",JPRAS Open,Linguine technique for excision of lentigo maligna and poorly defined non-melanotic skin cancer – A case series,0,17
1608,"[2019, 1, 8]","['Chatterjee, Sudesna', 'Khunti, Kamlesh', 'Davies, Melanie J.']",Drugs,Achieving Glycaemic Control with Concentrated Insulin in Patients with Type 2 Diabetes,11,65
1609,"[2019, 3, 8]","['Nouraei, S. A. Reza', 'Heathcote, Kate J.']",Clinical Otolaryngology,An anatomically consistent approach for performing transthyrohyoid injection laryngoplasty,1,5
1610,"[2019, 1]","['Grantham, Henry J.', 'Reynolds, Nick J.']",British Journal of Dermatology,"The devil is in the data: differences in drug persistence between
            SNIIRAM
            , the French national health insurance database, and psoriasis biologics intervention registers",2,15
1611,"[2019, 2]","['Ashkan, Keyoumars', 'Lavrador, José Pedro', 'Bhangoo, Ranjeev']",Seminars in Oncology,Visualase - An alternative approach to both old and new problems in Neuro-Oncology,0,9
1612,"[2018, 12, 10]","['Casselden, Elizabeth', 'Sheerin, Fintan', 'Winter, Stuart C.']",European Archives of Oto-Rhino-Laryngology,Incidental findings on 18-FDG PET–CT in head and neck cancer. A retrospective case-control study of incidental findings on 18-FDG PET–CT in patients with head and neck cancer,3,9
1613,"[2018, 12, 4]","['Charlesworth, M.', 'Wiles, M. D.']",Anaesthesia,Pre-operative gastric ultrasound - should we look inside Schrödinger's gut?,7,20
1614,"[2019, 2]","['Plonczak, Agata Marta', 'Niruttan, Kanchana', 'Jain, Abhilash']","Journal of Plastic, Reconstructive &amp; Aesthetic Surgery",Should we be imaging soft tissue masses of the hand and wrist?,1,4
1615,"[2019, 2]","['Nikkhah, Dariush', 'Blair, James']","Journal of Plastic, Reconstructive &amp; Aesthetic Surgery",Microscope assisted surgery for dupuytrens disease,2,4
1616,"[2018, 10, 29]","['Mortensen, Chloe', 'Chung, John', 'Liu, David', 'Ho, Stephen', 'Legiehn, Gerald', 'Machan, Lindsay', 'Klass, Darren']",CardioVascular and Interventional Radiology,Prospective Study on Total Fluoroscopic Time in Patients Undergoing Uterine Artery Embolization: Comparing Transradial and Transfemoral Approaches,15,27
1617,"[2019, 2]","['Armstrong, Richard A.', 'Squire, Yolande G.', 'Rogers, Chris A.', 'Hinchliffe, Robert J.', 'Mouton, Ronelle']",Journal of Cardiothoracic and Vascular Anesthesia,Type of Anesthesia for Endovascular Abdominal Aortic Aneurysm Repair,17,52
1618,"[2018, 10, 3]","['Brown, Jeremy P', 'Wooldrage, Kate', 'Kralj-Hans, Ines', 'Wright, Suzanne', 'Cross, Amanda J', 'Atkin, Wendy S']",Journal of Medical Screening,Effect of once-only flexible sigmoidoscopy screening on the outcomes of subsequent faecal occult blood test screening,3,31
1619,"[2018, 8, 27]","['Dobbs, Sian', 'Shapey, Iestyn M.', 'Summers, Angela', 'Moinuddin, Zia', 'van Dellen, David', 'Augustine, Titus']",American Journal of Transplantation,Simultaneous en‐bloc pancreas and kidney transplantation from a small pediatric donor after circulatory death,1,20
1620,"[2018, 4, 20]","['Kazi, Sajida', 'Mckiddie, Fergus', 'Anderson, Julia', 'Bagot, Catherine', 'Duncan, Caroline', 'Drummond, Mark', 'Kerr, Ron', 'Khan, Mohammed', 'McColl, Mark', 'Roddie, Huw', 'Priddee, Nicole', 'Staff, Roger', 'Thomas, Ranjit', 'Watson, Henry G.']",British Journal of Haematology,"Autologous <sup>111</sup>
In-labelled platelet scan as a predictor of splenectomy outcome in ITP",4,7
1621,"[2018, 3, 27]","['Seaton, Sarah E', 'Barker, Lisa', 'Draper, Elizabeth S', 'Abrams, Keith R', 'Modi, Neena', 'Manktelow, Bradley N']",Archives of Disease in Childhood - Fetal and Neonatal Edition,Estimating neonatal length of stay for babies born very preterm,23,28
1622,"[2018, 2, 16]","['Ashton, Annelisse', 'Soares, Ricardo', 'Kusuma, Venkata Ramana Murthy', 'Moschonas, Dimitrios', 'Perry, Matthew', 'Patil, Krishna']",Journal of Robotic Surgery,Robotic-assisted bladder diverticulectomy: point of technique to identify the diverticulum,2,8
1623,"[2019, 1]","['Hall, Thomas C', 'Williams, Alun', 'Hussain, Farida', 'O’Neill, Richard']",Clinical Medicine Insights: Case Reports,Treatment of Renal Artery Stenosis in a Solitary Kidney Using Cutting Balloon Angioplasty in a Paediatric Patient,1,16
1624,"[2019, 1, 31]","['Fisher, Peter L.', 'Byrne, Angela', 'Fairburn, Louise', 'Ullmer, Helen', 'Abbey, Gareth', 'Salmon, Peter']",Frontiers in Psychology,Brief Metacognitive Therapy for Emotional Distress in Adult Cancer Survivors,12,48
1625,"[2019, 1, 9]","['Barnett, Nina L']",European Journal of Hospital Pharmacy,Guide to undertaking person-centred inpatient (ward) outpatient (clinic) and dispensary-based pharmacy consultations,3,10
1626,NaN,['NaN'],NaN,NaN,NaN,NaN
1627,"[2019, 10, 13]","['Bahal, Sameer', 'Houssen, Maha E.', 'Manson, Ania', 'Lorenzo, Lorena', 'Russell, Mark A.', 'Morgan, Noel G.', 'Tahami, Fariba', 'Grigoriadou, Sofia']",Case Reports in Immunology,Evidence that a STAT3 Mutation Causing Hyper IgE Syndrome Leads to Repression of Transcriptional Activity,1,20
1628,"[2019, 10, 29]","['Burns, David M.', 'Ryan, Gordon B.', 'Harvey, Caroline M.', 'Nagy, Eszter', 'Hughes, Simon', 'Murray, Paul G.', 'Russell, Nigel H.', 'Fox, Christopher P.', 'Long, Heather M.']",Frontiers in Immunology,Non-uniform in vivo Expansion of Epstein-Barr Virus-Specific T-Cells Following Donor Lymphocyte Infusion for Post-transplant Lymphoproliferative Disease,2,50
1629,"[2019, 10, 18]","['Sæther, Solbjørg Makalani Myrtveit', 'Knapstad, Marit', 'Grey, Nick', 'Smith, Otto R. F.']",Frontiers in Psychology,Twelve Months Post-treatment Results From the Norwegian Version of Improving Access to Psychological Therapies,3,52
1630,"[2019, 9]","['Pascall, Beth', 'Thakker, Arjuna', 'Foo, Ying', 'Thakker, Pradip']",BMJ Paediatrics Open,Immunoglobulin for Kawasaki disease: a 3-year retrospective audit,0,12
1631,"[2019, 7]","['Thiagarajan, Prarthana', 'Aithal, Guruprasad P.']",Journal of Clinical and Experimental Hepatology,Drug Development for Nonalcoholic Fatty Liver Disease: Landscape and Challenges,14,37
1632,"[2019, 8, 28]","['Anderson, Anna', 'Thornton, Oliver', 'Coats, Rachel', 'Capozio, Antonio', 'Astill, Sarah']",PLOS ONE,The effect of using a cycling workstation on mouse dexterity,2,36
1633,"[2019, 4, 3]","['Pietropaolo, Amelia', 'Jones, Patrick', 'Aboumarzouk, Omar M.', 'Rai, Bhavan P.', 'Lockyer, C. Richard W.', 'Hayes, Matt C.', 'Geraghty, Rob', 'Bhatnagar, Adityanarayan', 'Somani, Bhaskar K.']",Arab Journal of Urology,Trends in surgical and ablative treatment of localised renal cell carcinoma: A review of publication trends over 16 years (2000–2015),5,14
