PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31468939","The Me first communication model","Martin K, Morton L, Reid J, Feltham A, Reid JW, Jeremy G, McCulloch J.","Nurs Child Young People. 2019 Mar 4. doi: 10.7748/ncyp.2019.e1064. Online ahead of print.","Martin K","Nurs Child Young People","2019","2019/08/31","","","10.7748/ncyp.2019.e1064"
"31356222","MRI findings in vestibular paroxysmia - An observational study","Sivarasan N, Touska P, Murdin L, Connor S.","J Vestib Res. 2019;29(2-3):137-145. doi: 10.3233/VES-190661.","Sivarasan N","J Vestib Res","2019","2019/07/30","","","10.3233/VES-190661"
"31301777","An investigation into the perceived value of the College of Radiographers voluntary accreditation scheme for advanced and consultant practitioners in breast imaging","Deane L, Robinson L, England A.","Radiography (Lond). 2019 Aug;25(3):207-213. doi: 10.1016/j.radi.2019.01.004. Epub 2019 Feb 4.","Deane L","Radiography (Lond)","2019","2019/07/15","","","10.1016/j.radi.2019.01.004"
"31190783","The acute wheezy adult with airways disease in the emergency department: a retrospective case-note review of exacerbations of COPD","Russell R, Beer S, Pavord ID, Pullinger R, Bafadhel M.","Int J Chron Obstruct Pulmon Dis. 2019 May 7;14:971-977. doi: 10.2147/COPD.S190085. eCollection 2019.","Russell R","Int J Chron Obstruct Pulmon Dis","2019","2019/06/14","PMC6514127","","10.2147/COPD.S190085"
"31098586","WORKFORCE: Newly graduated doctors' experiences of conducting medical ward rounds alone: A regional cross-sectional study","Pearce J, Govan S, Harlinska A, Tremain R, Gajebasia S, Redman M.","Future Healthc J. 2019 Feb;6(1):47-51. doi: 10.7861/futurehosp.6-1-47.","Pearce J","Future Healthc J","2019","2019/05/18","PMC6520087","","10.7861/futurehosp.6-1-47"
"30959336","Sleep disordered breathing and dysphonia in a pediatric patient - Laryngeal amyloidosis as an unusual diagnosis","Coyle P, Tan N, Jonas N.","Int J Pediatr Otorhinolaryngol. 2019 Jul;122:44-46. doi: 10.1016/j.ijporl.2019.03.028. Epub 2019 Mar 26.","Coyle P","Int J Pediatr Otorhinolaryngol","2019","2019/04/09","","","10.1016/j.ijporl.2019.03.028"
"30923102","MR4 sustained for 12 months is associated with stable deep molecular responses in chronic myeloid leukemia","Claudiani S, Gatenby A, Szydlo R, Nesr G, Abulafia AS, Palanicawandar R, Nteliopoulos G, Khorashad J, Foroni L, Apperley JF, Milojkovic D.","Haematologica. 2019 Nov;104(11):2206-2214. doi: 10.3324/haematol.2018.214809. Epub 2019 Mar 28.","Claudiani S","Haematologica","2019","2019/03/30","PMC6821602","","10.3324/haematol.2018.214809"
"30904200","Fragments of drains retained during operations on the temporomandibular joint","Hills AJ, Armstrong D, Bisase B, Norris P.","Br J Oral Maxillofac Surg. 2019 Apr;57(3):280-281. doi: 10.1016/j.bjoms.2018.12.015. Epub 2019 Mar 20.","Hills AJ","Br J Oral Maxillofac Surg","2019","2019/03/25","","","10.1016/j.bjoms.2018.12.015"
"30872506","Histone modifiers are oxygen sensors","Gallipoli P, Huntly BJP.","Science. 2019 Mar 15;363(6432):1148-1149. doi: 10.1126/science.aaw8373.","Gallipoli P","Science","2019","2019/03/16","","","10.1126/science.aaw8373"
"30863039","When to use single-inhaler triple therapy in COPD: a practical approach for primary care health care professionals","Gaduzo S, McGovern V, Roberts J, Scullion JE, Singh D.","Int J Chron Obstruct Pulmon Dis. 2019 Feb 13;14:391-401. doi: 10.2147/COPD.S173901. eCollection 2019.","Gaduzo S","Int J Chron Obstruct Pulmon Dis","2019","2019/03/14","PMC6388781","","10.2147/COPD.S173901"
"30852545","Evaluating 3D-printed models of coronary anomalies: a survey among clinicians and researchers at a university hospital in the UK","Lee M, Moharem-Elgamal S, Beckingham R, Hamilton M, Manghat N, Milano EG, Bucciarelli-Ducci C, Caputo M, Biglino G.","BMJ Open. 2019 Mar 8;9(3):e025227. doi: 10.1136/bmjopen-2018-025227.","Lee M","BMJ Open","2019","2019/03/11","PMC6430025","","10.1136/bmjopen-2018-025227"
"30852037","Contemporary (2009-2014) clinical outcomes after femoropopliteal bypass surgery for chronic limb threatening ischemia are inferior to those reported in the UK Bypass versus Angioplasty for Severe Ischaemia of the Leg (BASIL) trial (1999-2004)","Meecham L, Popplewell M, Bate G, Patel S, Bradbury AW.","J Vasc Surg. 2019 Jun;69(6):1840-1847. doi: 10.1016/j.jvs.2018.08.197. Epub 2019 Mar 7.","Meecham L","J Vasc Surg","2019","2019/03/11","","","10.1016/j.jvs.2018.08.197"
"30838776","Effect of body mass index on depression in a UK cohort of 363 037 obese patients: A longitudinal analysis of transition","Moussa OM, Ardissino M, Kulatilake P, Faraj A, Muttoni E, Darzi A, Ziprin P, Scholtz S, Purkayastha S.","Clin Obes. 2019 Jun;9(3):e12305. doi: 10.1111/cob.12305. Epub 2019 Mar 5.","Moussa OM","Clin Obes","2019","2019/03/07","","","10.1111/cob.12305"
"30818965","Child and parent outcomes following parent interventions for child emotional and behavioral problems in autism spectrum disorders: A systematic review and meta-analysis","Tarver J, Palmer M, Webb S, Scott S, Slonims V, Simonoff E, Charman T.","Autism. 2019 Oct;23(7):1630-1644. doi: 10.1177/1362361319830042. Epub 2019 Feb 28.","Tarver J","Autism","2019","2019/03/02","","","10.1177/1362361319830042"
"30802808","Cognitive speed and white matter integrity in secondary progressive multiple sclerosis","Manca R, Stabile MR, Bevilacqua F, Cadorin C, Piccione F, Sharrack B, Venneri A.","Mult Scler Relat Disord. 2019 May;30:198-207. doi: 10.1016/j.msard.2019.02.021. Epub 2019 Feb 17.","Manca R","Mult Scler Relat Disord","2019","2019/02/26","","","10.1016/j.msard.2019.02.021"
"30802529","Expression of genes controlling steroid metabolism and action in granulosa-lutein cells of women with polycystic ovaries","Lerner A, Owens LA, Coates M, Simpson C, Poole G, Velupillai J, Liyanage M, Christopoulos G, Lavery S, Hardy K, Franks S.","Mol Cell Endocrinol. 2019 Apr 15;486:47-54. doi: 10.1016/j.mce.2019.02.015. Epub 2019 Feb 22.","Lerner A","Mol Cell Endocrinol","2019","2019/02/26","","","10.1016/j.mce.2019.02.015"
"30783739","Endoscopic resection of colorectal circumferential and near-circumferential laterally spreading lesions: outcomes and risk of stenosis","Emmanuel A, Ghosh A, Lapa C, Gulati S, Burt M, Hayee B, Haji A.","Int J Colorectal Dis. 2019 May;34(5):829-836. doi: 10.1007/s00384-019-03254-w. Epub 2019 Feb 19.","Emmanuel A","Int J Colorectal Dis","2019","2019/02/21","","","10.1007/s00384-019-03254-w"
"30782100","Outcomes of endometrial assessment in women with unscheduled bleeding on hormone replacement therapy","Abdullahi Idle S, Hamoda H.","Post Reprod Health. 2019 Jun;25(2):95-99. doi: 10.1177/2053369119830822. Epub 2019 Feb 19.","Abdullahi Idle S","Post Reprod Health","2019","2019/02/21","","","10.1177/2053369119830822"
"30773973","Characterization of the Mechanism and Substrate of Atrial Tachycardia Using Ultra-High-Density Mapping in Adults With Congenital Heart Disease: Impact on Clinical Outcomes","Mantziari L, Butcher C, Shi R, Kontogeorgis A, Opel A, Chen Z, Haldar S, Panikker S, Hussain W, Jones DG, Gatzoulis MA, Markides V, Ernst S, Wong T.","J Am Heart Assoc. 2019 Feb 19;8(4):e010535. doi: 10.1161/JAHA.118.010535.","Mantziari L","J Am Heart Assoc","2019","2019/02/19","PMC6405650","","10.1161/JAHA.118.010535"
"30764647","A study investigating the validity of an accelerometer in quantification of step count in adult hospital inpatients recovering from critical illness","Anderson JL, Yoward LS, Green AJ.","Clin Rehabil. 2019 May;33(5):936-942. doi: 10.1177/0269215519829893. Epub 2019 Feb 14.","Anderson JL","Clin Rehabil","2019","2019/02/16","","","10.1177/0269215519829893"
"30763129","The Angel catheter for the prevention of pulmonary embolism: combining an IVC filter and a triple-lumen central venous catheter","Achaibar K, Waldmann C, Taccone FS.","Expert Rev Med Devices. 2019 Mar;16(3):183-186. doi: 10.1080/17434440.2019.1583556. Epub 2019 Feb 20.","Achaibar K","Expert Rev Med Devices","2019","2019/02/15","","","10.1080/17434440.2019.1583556"
"30732987","Basilar artery perforator aneurysms: Report of 9 cases and review of the literature","Bhogal P, AlMatter M, Hellstern V, Pérez MA, Lehmberg J, Ganslandt O, Bäzner H, Henkes H.","J Clin Neurosci. 2019 May;63:122-129. doi: 10.1016/j.jocn.2019.01.026. Epub 2019 Feb 4.","Bhogal P","J Clin Neurosci","2019","2019/02/09","","","10.1016/j.jocn.2019.01.026"
"30712021","Micro-CT of tracheal stenosis in trisomy 21","Shelmerdine SC, Ashworth MT, Calder AD, Muthialu N, Arthurs OJ.","Thorax. 2019 Apr;74(4):419-420. doi: 10.1136/thoraxjnl-2018-212966. Epub 2019 Feb 2.","Shelmerdine SC","Thorax","2019","2019/02/04","PMC6860417","","10.1136/thoraxjnl-2018-212966"
"30708341","Is pleural infection associated with longer survival in mesothelioma? A population-based cohort study using data from Hospital Episode Statistics","Bibby AC, de Fonseka D, Carslake DJ, Maskell NA.","Cancer Epidemiol. 2019 Apr;59:75-82. doi: 10.1016/j.canep.2019.01.014. Epub 2019 Jan 30.","Bibby AC","Cancer Epidemiol","2019","2019/02/02","","","10.1016/j.canep.2019.01.014"
"30705241","Internet delivery of intensive speech and language therapy for children with cerebral palsy: a pilot randomised controlled trial","Pennington L, Stamp E, Smith J, Kelly H, Parker N, Stockwell K, Aluko P, Othman M, Brittain K, Vale L.","BMJ Open. 2019 Jan 30;9(1):e024233. doi: 10.1136/bmjopen-2018-024233.","Pennington L","BMJ Open","2019","2019/02/02","PMC6359732","","10.1136/bmjopen-2018-024233"
"30697432","Perivascular epithelioid cell tumour and mesonephric adenocarcinoma of the uterine cervix: an unknown co-existence","Papoutsis D, Sahu B, Kelly J, Antonakou A.","Oxf Med Case Reports. 2019 Jan 24;2019(1):omy115. doi: 10.1093/omcr/omy115. eCollection 2019 Jan.","Papoutsis D","Oxf Med Case Reports","2019","2019/01/31","PMC6345091","","10.1093/omcr/omy115"
"30683018","Pathophysiological Mechanism of Extravasation via Umbilical Venous Catheters","Hargitai B, Toldi G, Marton T, Ramalingam V, Ewer AK, Bedford Russell AR.","Pediatr Dev Pathol. 2019 Jul-Aug;22(4):340-343. doi: 10.1177/1093526619826714. Epub 2019 Jan 25.","Hargitai B","Pediatr Dev Pathol","2019","2019/01/27","","","10.1177/1093526619826714"
"30674686","UK diploma examinations in genitourinary and HIV medicine","Williams D, Churchill D, Richardson D, Rodgers M.","Sex Transm Infect. 2019 Feb;95(1):4. doi: 10.1136/sextrans-2018-053761.","Williams D","Sex Transm Infect","2019","2019/01/25","","","10.1136/sextrans-2018-053761"
"30665811","Corrigendum re ""Prospective Randomised Controlled Trial of Transobturator Tapes in Management of Urodynamic Stress Incontinence in Women: 3-Year Outcomes from the Evaluation of Transobturator Tapes Study"" [Eur Urol 2012;62:843-51]","Abdel-Fattah M, Mostafa A, Familusi A, Ramsay I, N'Dow J.","Eur Urol. 2019 Apr;75(4):e119. doi: 10.1016/j.eururo.2019.01.007. Epub 2019 Jan 18.","Abdel-Fattah M","Eur Urol","2019","2019/01/23","","","10.1016/j.eururo.2019.01.007"
"30642735","Response to Letter re: Refeeding syndrome in adults receiving total parenteral nutrition: An audit of practice at a tertiary UK centre","Fragkos KC, Di Caro S, Mehta SJ, Rahman F.","Clin Nutr. 2019 Apr;38(2):968. doi: 10.1016/j.clnu.2018.10.029. Epub 2019 Jan 5.","Fragkos KC","Clin Nutr","2019","2019/01/16","","","10.1016/j.clnu.2018.10.029"
"30636565","Pharmacotherapy Effectiveness in Treating Depression After Traumatic Brain Injury: A Meta-Analysis","Slowinski A, Coetzer R, Byrne C.","J Neuropsychiatry Clin Neurosci. 2019 Summer;31(3):220-227. doi: 10.1176/appi.neuropsych.18070158. Epub 2019 Jan 14.","Slowinski A","J Neuropsychiatry Clin Neurosci","2019","2019/01/15","","","10.1176/appi.neuropsych.18070158"
"30599860","Image guided injection therapies in athletes-Do they work and what should we be using?","Lee JC, Ahmed N, Allen GM.","Eur J Radiol. 2019 Jan;110:193-202. doi: 10.1016/j.ejrad.2018.12.001. Epub 2018 Dec 3.","Lee JC","Eur J Radiol","2019","2019/01/03","","","10.1016/j.ejrad.2018.12.001"
"30579970","Preoperative mechanical and oral antibiotic bowel preparation to reduce infectious complications of colorectal surgery - the need for updated guidelines","Battersby CLF, Battersby NJ, Slade DAJ, Soop M, Walsh CJ.","J Hosp Infect. 2019 Mar;101(3):295-299. doi: 10.1016/j.jhin.2018.12.010. Epub 2018 Dec 21.","Battersby CLF","J Hosp Infect","2019","2018/12/24","","","10.1016/j.jhin.2018.12.010"
"30579441","The proposed UK abdominal aortic aneurysm guidelines: A much needed wakeup call","Mastracci TM, Modarai B, Tyrrell M, Adam DJ.","J Vasc Surg. 2019 Jan;69(1):1-3. doi: 10.1016/j.jvs.2018.08.157.","Mastracci TM","J Vasc Surg","2019","2018/12/24","","","10.1016/j.jvs.2018.08.157"
"30556288","Clinical report follow up: Type 1 Collagenopathy presenting with a Russell-Silver phenotype","Kanani F, Parker MJ, Burren CP, Rankin J, Balasubramanian M.","Am J Med Genet A. 2019 Jan;179(1):139-140. doi: 10.1002/ajmg.a.60680. Epub 2018 Dec 17.","Kanani F","Am J Med Genet A","2019","2018/12/18","","","10.1002/ajmg.a.60680"
"30553845","Our planet or our patients-is the sky the limit for inhaler choice?","Usmani OS, Scullion J, Keeley D.","Lancet Respir Med. 2019 Jan;7(1):11-13. doi: 10.1016/S2213-2600(18)30497-1. Epub 2018 Dec 12.","Usmani OS","Lancet Respir Med","2019","2018/12/17","","","10.1016/S2213-2600(18)30497-1"
"30527708","Response to letter commenting on the use of blue dye in sentinel lymph node biopsy","Pantelides NM, Ranson JM, Laitung JKG.","J Plast Reconstr Aesthet Surg. 2019 Feb;72(2):335-354. doi: 10.1016/j.bjps.2018.10.049. Epub 2018 Nov 23.","Pantelides NM","J Plast Reconstr Aesthet Surg","2019","2018/12/12","","","10.1016/j.bjps.2018.10.049"
"30502096","Artificial intelligence and machine learning | applications in musculoskeletal physiotherapy","Tack C.","Musculoskelet Sci Pract. 2019 Feb;39:164-169. doi: 10.1016/j.msksp.2018.11.012. Epub 2018 Nov 23.","Tack C","Musculoskelet Sci Pract","2019","2018/12/04","","","10.1016/j.msksp.2018.11.012"
"30511753","Paediatric intensive care and neonatal intensive care airway management in the United Kingdom: the PIC-NIC survey","Mactier H, Jackson A, Davis J, Menon G, Morley CJ, Roehr CC, Tinnion RJ; British Association of Peri-operative Medicine..","Anaesthesia. 2019 Jan;74(1):116-117. doi: 10.1111/anae.14526.","Mactier H","Anaesthesia","2019","2018/12/05","","","10.1111/anae.14526"
"30488173","Infective Endocarditis in the Elderly: Diagnostic and Treatment Options","Ursi MP, Durante Mangoni E, Rajani R, Hancock J, Chambers JB, Prendergast B.","Drugs Aging. 2019 Feb;36(2):115-124. doi: 10.1007/s40266-018-0614-7.","Ursi MP","Drugs Aging","2019","2018/11/30","","","10.1007/s40266-018-0614-7"
"30473402","Predicting treatment response to antidepressant medication using early changes in emotional processing","Browning M, Kingslake J, Dourish CT, Goodwin GM, Harmer CJ, Dawson GR.","Eur Neuropsychopharmacol. 2019 Jan;29(1):66-75. doi: 10.1016/j.euroneuro.2018.11.1102. Epub 2018 Nov 22.","Browning M","Eur Neuropsychopharmacol","2019","2018/11/27","","","10.1016/j.euroneuro.2018.11.1102"
"30472794","A follow-up survey of total intravenous anesthesia usage in children in the U.K. and Ireland","Goh AN, Bagshaw O, Courtman S.","Paediatr Anaesth. 2019 Feb;29(2):180-185. doi: 10.1111/pan.13556. Epub 2019 Jan 2.","Goh AN","Paediatr Anaesth","2019","2018/11/26","","","10.1111/pan.13556"
"30448336","Low uptake of nasal influenza vaccine in Polish and other ethnic minority children in Edinburgh, Scotland","Bielecki K, Kirolos A, Willocks LJ, Pollock KG, Gorman DR.","Vaccine. 2019 Jan 29;37(5):693-697. doi: 10.1016/j.vaccine.2018.11.029. Epub 2018 Nov 16.","Bielecki K","Vaccine","2019","2018/11/19","","","10.1016/j.vaccine.2018.11.029"
"30426481","Incidence of Persistent Headache at 18 Months Following Accidental Dural Puncture in the Obstetric Population: A Prospective Service Evaluation in 45 Patients","Gauthama P, Kelkar A, Basar SMA, Niraj G.","Headache. 2019 Jan;59(1):97-103. doi: 10.1111/head.13442. Epub 2018 Nov 13.","Gauthama P","Headache","2019","2018/11/15","","","10.1111/head.13442"
"30411476","Treatment of anal fissure: a survey of surgical practice in Australia and New Zealand","Siddiqui J, Fowler GE, Zahid A, Brown K, Young CJ.","Colorectal Dis. 2019 Feb;21(2):226-233. doi: 10.1111/codi.14466. Epub 2018 Nov 27.","Siddiqui J","Colorectal Dis","2019","2018/11/10","","","10.1111/codi.14466"
"30393910","Letter to 'Value of top-hat procedure in management of squamous intraepithelial lesion'","Papoutsis D, Antonakou A.","J Obstet Gynaecol Res. 2019 Feb;45(2):488. doi: 10.1111/jog.13856. Epub 2018 Nov 4.","Papoutsis D","J Obstet Gynaecol Res","2019","2018/11/06","","","10.1111/jog.13856"
"30239861","Uncommon low-grade brain tumors","Ajithkumar T, Imbulgoda N, Rees E, Harris F, Horan G, Burke A, Jefferies S, Price S, Cross J, Allinson K.","Neuro Oncol. 2019 Feb 14;21(2):151-166. doi: 10.1093/neuonc/noy151.","Ajithkumar T","Neuro Oncol","2019","2018/09/22","PMC6374757","","10.1093/neuonc/noy151"
"30198598","Clinical outcomes in patients on secukinumab (Cosentyx(®) ) within a specialist psoriasis clinic: a single centre, retrospective cohort study","Sears AV, Szlumper C, Liu KW, Smith CH, Barker JNWN, Pink AE.","J Eur Acad Dermatol Venereol. 2019 Feb;33(2):e89-e91. doi: 10.1111/jdv.15245. Epub 2018 Oct 1.","Sears AV","J Eur Acad Dermatol Venereol","2019","2018/09/11","","","10.1111/jdv.15245"
"30184147","Acroosteolysis in a patient with systemic lupus erythematosus/mixed connective tissue disease","Davies K, Bukhari M, Ottewell L.","Rheumatology (Oxford). 2019 Mar 1;58(3):426. doi: 10.1093/rheumatology/key270.","Davies K","Rheumatology (Oxford)","2019","2018/09/06","","","10.1093/rheumatology/key270"
"30149438","Left/right limb judgement task performance following total knee replacement","Rosser CA, David Punt T, Ryan CG.","J Back Musculoskelet Rehabil. 2019;32(1):77-84. doi: 10.3233/BMR-171104.","Rosser CA","J Back Musculoskelet Rehabil","2019","2018/08/29","","","10.3233/BMR-171104"
"30098851","Outpatient parenteral antimicrobial therapy (OPAT) in the UK: a cross-sectional survey of acute hospital trusts and health boards","Durojaiye OC, Cartwright K, Ntziora F.","Diagn Microbiol Infect Dis. 2019 Jan;93(1):58-62. doi: 10.1016/j.diagmicrobio.2018.07.013. Epub 2018 Jul 24.","Durojaiye OC","Diagn Microbiol Infect Dis","2019","2018/08/13","","","10.1016/j.diagmicrobio.2018.07.013"
"30091251","Meeting patients' spiritual needs during end-of-life care: A qualitative study of nurses' and healthcare professionals' perceptions of spiritual care training","O'Brien MR, Kinloch K, Groves KE, Jack BA.","J Clin Nurs. 2019 Jan;28(1-2):182-189. doi: 10.1111/jocn.14648. Epub 2018 Aug 29.","O'Brien MR","J Clin Nurs","2019","2018/08/10","","","10.1111/jocn.14648"
"30049642","Multivariable analysis of predictors of unplanned hospital readmission after pancreaticoduodenectomy: development of a validated risk score","Boteon APCS, Boteon YL, Hodson J, Osborne H, Isaac J, Marudanayagam R, Mirza DF, Muiesan P, Roberts JK, Sutcliffe RP.","HPB (Oxford). 2019 Jan;21(1):26-33. doi: 10.1016/j.hpb.2018.06.1802. Epub 2018 Jul 23.","Boteon APCS","HPB (Oxford)","2019","2018/07/28","","","10.1016/j.hpb.2018.06.1802"
"29398336","Exclusive enteral nutrition in Crohn's disease: Evidence and practicalities","Ashton JJ, Gavin J, Beattie RM.","Clin Nutr. 2019 Feb;38(1):80-89. doi: 10.1016/j.clnu.2018.01.020. Epub 2018 Feb 15.","Ashton JJ","Clin Nutr","2019","2018/02/06","","","10.1016/j.clnu.2018.01.020"
"31853332","Early psychological intervention following recent trauma: A systematic review and meta-analysis","Roberts NP, Kitchiner NJ, Kenardy J, Lewis CE, Bisson JI.","Eur J Psychotraumatol. 2019 Dec 6;10(1):1695486. doi: 10.1080/20008198.2019.1695486. eCollection 2019.","Roberts NP","Eur J Psychotraumatol","2019","2019/12/20","PMC6913678","","10.1080/20008198.2019.1695486"
"31750233","Ablation or Resection for Colorectal Liver Metastases? A Systematic Review of the Literature","Kron P, Linecker M, Jones RP, Toogood GJ, Clavien PA, Lodge JPA.","Front Oncol. 2019 Oct 16;9:1052. doi: 10.3389/fonc.2019.01052. eCollection 2019.","Kron P","Front Oncol","2019","2019/11/22","PMC6843026","","10.3389/fonc.2019.01052"
"31396594","Obstetric violence: Clinical staff perceptions from a video of simulated practice","Gray T, Mohan S, Lindow S, Farrell T.","Eur J Obstet Gynecol Reprod Biol X. 2019 Jan 18;1:100007. doi: 10.1016/j.eurox.2019.100007. eCollection 2019 Jan.","Gray T","Eur J Obstet Gynecol Reprod Biol X","2019","2019/08/10","PMC6683974","","10.1016/j.eurox.2019.100007"
"31363587","Redistributed manufacturing to support field medical care","Hunt P, Kapletia D.","Future Healthc J. 2019 Mar;6(Suppl 1):64-65. doi: 10.7861/futurehosp.6-1-s64.","Hunt P","Future Healthc J","2019","2019/08/01","PMC6616807","","10.7861/futurehosp.6-1-s64"
"31363534","Acceptance, choice and empowerment (ACE) for pre-dialysis patients: a peer educator-based community project that aims to improve choice and quality of life for patients with kidney failure","Jain N, Baharani J, Dodds A, Lumsdon A, Khawaja SS.","Future Healthc J. 2019 Mar;6(Suppl 1):9. doi: 10.7861/futurehosp.6-1-s9.","Jain N","Future Healthc J","2019","2019/08/01","PMC6616770","","10.7861/futurehosp.6-1-s9"
"31153792","The diagnosis of Cystic Fibrosis: Controversies and consensus on common grounds","Jones AM.","Paediatr Respir Rev. 2019 Aug;31:1-2. doi: 10.1016/j.prrv.2019.03.003. Epub 2019 Mar 15.","Jones AM","Paediatr Respir Rev","2019","2019/06/03","","","10.1016/j.prrv.2019.03.003"
"31127798","Management of Acute Admissions of Heart Failure Patients with Kidney Disease","Junarta J, Banerjee A, Lowe-Jones R, Banerjee D.","Acute Med. 2019;18(2):96-104.","Junarta J","Acute Med","2019","2019/05/26","","",""
"31027557","Aortic Coarctation/Arch Hypoplasia Repair: How Small Is Too Small","Tsang V, Haapanen H, Neijenhuis R.","Semin Thorac Cardiovasc Surg Pediatr Card Surg Annu. 2019;22:10-13. doi: 10.1053/j.pcsu.2019.02.011.","Tsang V","Semin Thorac Cardiovasc Surg Pediatr Card Surg Annu","2019","2019/04/28","","","10.1053/j.pcsu.2019.02.011"
"30967900","A Combined in silico, in vitro and Clinical Approach to Characterize Novel Pathogenic Missense Variants in PRPF31 in Retinitis Pigmentosa","Wheway G, Nazlamova L, Meshad N, Hunt S, Jackson N, Churchill A.","Front Genet. 2019 Mar 22;10:248. doi: 10.3389/fgene.2019.00248. eCollection 2019.","Wheway G","Front Genet","2019","2019/04/11","PMC6438860","","10.3389/fgene.2019.00248"
"30967346","Which pathogens should we worry about?","Jones AM.","Paediatr Respir Rev. 2019 Aug;31:15-17. doi: 10.1016/j.prrv.2019.02.007. Epub 2019 Mar 1.","Jones AM","Paediatr Respir Rev","2019","2019/04/11","","","10.1016/j.prrv.2019.02.007"
"30962962","Screening tool for malignant bowel obstruction in relapsed, metastatic ovarian cancer","Morgan RD, Stamatopoulou S, Mescallado N, Saunders G, Welch R, Mitchell C, Hasan J, Clamp AR, Jayson GC.","ESMO Open. 2019 Mar 21;4(2):e000463. doi: 10.1136/esmoopen-2018-000463. eCollection 2019.","Morgan RD","ESMO Open","2019","2019/04/10","PMC6435240","","10.1136/esmoopen-2018-000463"
"30916388","Atypical haemolytic uraemic syndrome in the eculizumab era: presentation, response to treatment and evaluation of an eculizumab withdrawal strategy","Neave L, Gale DP, Cheesman S, Shah R, Scully M.","Br J Haematol. 2019 Jul;186(1):113-124. doi: 10.1111/bjh.15899. Epub 2019 Mar 27.","Neave L","Br J Haematol","2019","2019/03/28","","","10.1111/bjh.15899"
"30890965","A Bayesian Account of the Sensory-Motor Interactions Underlying Symptoms of Tourette Syndrome","Rae CL, Critchley HD, Seth AK.","Front Psychiatry. 2019 Mar 5;10:29. doi: 10.3389/fpsyt.2019.00029. eCollection 2019.","Rae CL","Front Psychiatry","2019","2019/03/21","PMC6412155","","10.3389/fpsyt.2019.00029"
"30850569","Curious case of a true aneurysm of the lateral femoral circumflex artery: a rare but important differential in the diagnosis of a painless groin mass","Pang JH, Elbasty A, Meyer FJ.","BMJ Case Rep. 2019 Mar 7;12(3):e228312. doi: 10.1136/bcr-2018-228312.","Pang JH","BMJ Case Rep","2019","2019/03/10","PMC6424270","","10.1136/bcr-2018-228312"
"30847515","Whole genome sequencing reveals that genetic conditions are frequent in intensively ill children","French CE, Delon I, Dolling H, Sanchis-Juan A, Shamardina O, Mégy K, Abbs S, Austin T, Bowdin S, Branco RG, Firth H; NIHR BioResource—Rare Disease; Next Generation Children Project, Rowitch DH, Raymond FL.","Intensive Care Med. 2019 May;45(5):627-636. doi: 10.1007/s00134-019-05552-x. Epub 2019 Mar 7.","French CE","Intensive Care Med","2019","2019/03/09","PMC6483967","","10.1007/s00134-019-05552-x"
"30846970","Congenital Hypogonadotrophic Hypogonadism: Minipuberty and the Case for Neonatal Diagnosis","Swee DS, Quinton R.","Front Endocrinol (Lausanne). 2019 Feb 21;10:97. doi: 10.3389/fendo.2019.00097. eCollection 2019.","Swee DS","Front Endocrinol (Lausanne)","2019","2019/03/09","PMC6393341","","10.3389/fendo.2019.00097"
"30846073","Response","Psallidas I, Rahman NM.","Chest. 2019 Mar;155(3):650-651. doi: 10.1016/j.chest.2018.11.027.","Psallidas I","Chest","2019","2019/03/09","","","10.1016/j.chest.2018.11.027"
"30784131","Relationship between the Vineland Adaptive Behaviour Scales and the Wechsler Adult Intelligence Scale IV in adults with intellectual disabilities","Saleem M, Beail N, Roache S.","J Intellect Disabil Res. 2019 Sep;63(9):1158-1162. doi: 10.1111/jir.12610. Epub 2019 Feb 19.","Saleem M","J Intellect Disabil Res","2019","2019/02/21","","","10.1111/jir.12610"
"30762223","Multiparametric MRI and radiomics in prostate cancer: a review","Sun Y, Reynolds HM, Parameswaran B, Wraith D, Finnegan ME, Williams S, Haworth A.","Australas Phys Eng Sci Med. 2019 Mar;42(1):3-25. doi: 10.1007/s13246-019-00730-z. Epub 2019 Feb 14.","Sun Y","Australas Phys Eng Sci Med","2019","2019/02/15","","","10.1007/s13246-019-00730-z"
"30760606","MRI for patients with cardiac implantable electronic devices: simplifying complexity with a 'one-stop' service model","Bhuva AN, Feuchter P, Hawkins A, Cash L, Boubertakh R, Evanson J, Schilling R, Lowe M, Moon JC, Manisty CH.","BMJ Qual Saf. 2019 Oct;28(10):853-858. doi: 10.1136/bmjqs-2018-009079. Epub 2019 Feb 13.","Bhuva AN","BMJ Qual Saf","2019","2019/02/15","PMC6837254","","10.1136/bmjqs-2018-009079"
"30738883","Rare Abdominal Cutaneous Presentation of Clear Cell Renal Cell Carcinoma: A Case Report","Osen ER, Warren AY.","Urology. 2019 May;127:e8-e9. doi: 10.1016/j.urology.2019.01.028. Epub 2019 Feb 8.","Osen ER","Urology","2019","2019/02/11","","","10.1016/j.urology.2019.01.028"
"30733554","Fluid Containing Structures in the tips of the fingers and toes delineated by Ultrasound Imaging before and after Induced Skin Wrinkling","Gechev A.","Sci Rep. 2019 Feb 7;9(1):1640. doi: 10.1038/s41598-018-38476-5.","Gechev A","Sci Rep","2019","2019/02/09","PMC6367415","","10.1038/s41598-018-38476-5"
